method,total_cost,peak_kw,peak_reduction_pct,completion_rate_pct,constraint_violations,bess_efc,degr_cost,v2g_revenue,ev_discharge_kwh,mean_solve_time,max_solve_time,seed,tau_cap_steps,tau_cap_hours
tau_cap=1,-170.0692267860116,111.6546920246082,6.13988019164172,100.0,0,1.9473084427499998,0.31156935083999987,98.50500757863077,323.19660514000003,0.12191390991210938,0.15129828453063965,7,1,0.5
tau_cap=1,-124.46992961686742,96.46695065218067,-5.877900424473572,80.0,2,1.9006559733464208,0.3079092913431407,89.73031761951245,298.7705769672,0.1233285665512085,0.14699697494506836,8,1,0.5
tau_cap=1,-106.74638946501823,97.09852937093237,7.424341846649239,100.0,0,1.939762884085826,0.3079947555481102,94.8841184017982,313.1977112,0.13255608081817627,0.165818452835083,9,1,0.5
tau_cap=1,-110.5642671850442,93.98244697578517,18.65381184291861,80.0,2,1.95007606429,0.31015241012533346,91.57158868711882,294.048803482,0.12917935848236084,0.16111087799072266,10,1,0.5
tau_cap=2,-163.93519775685724,106.77154986138918,2.9584040445890545,90.0,1,1.9193590864374999,0.30709745383,90.11879575493504,290.8357466865,0.11615157127380371,0.13568544387817383,1,2,1.0
tau_cap=2,-144.67861845867847,101.22276378553391,8.927513821124453,80.0,2,1.9353471537089286,0.3079688960656666,86.00283571332011,284.323328075,0.12349140644073486,0.14846014976501465,2,2,1.0
tau_cap=2,-149.61643817947507,99.75393166035319,9.40796114313931,90.0,1,1.9972054016542857,0.3195346110287999,83.81265829504186,276.666306328,0.11990559101104736,0.1467146873474121,3,2,1.0
tau_cap=2,-107.93996047037999,93.52539312664686,-4.121557603097062,80.0,2,1.962197683320037,0.31258164476267153,88.8174746199593,286.220905,0.15796685218811035,0.21239066123962402,4,2,1.0
tau_cap=2,-132.3258228029049,95.50935029143379,4.058441248572936,80.0,2,1.9883571307837682,0.3181371409254029,90.38604780819952,290.68145450000003,0.1361067295074463,0.16801953315734863,5,2,1.0
tau_cap=2,-102.34547974390203,93.76742579562793,3.978065027449411,90.0,1,1.9104438538823802,0.30804919448138396,85.94020052483135,288.4468375,0.1193704605102539,0.13263249397277832,6,2,1.0
tau_cap=2,-170.0692267860116,111.6546920246082,6.13988019164172,100.0,0,1.9473084427499998,0.31156935083999987,98.50500757863077,323.19660514000003,0.11623990535736084,0.14546751976013184,7,2,1.0
tau_cap=2,-124.46992980631249,96.46695056845007,-5.8779003325745345,80.0,2,1.9006559716797544,0.30790929110314075,89.73031761951245,298.7705769672,0.12355303764343262,0.15158987045288086,8,2,1.0
tau_cap=2,-106.74615709865006,97.09852928139883,7.4243419320122905,80.0,2,1.9397518949857122,0.3079932903514283,94.8841184017982,313.1977112,0.1243891716003418,0.15219426155090332,9,2,1.0
tau_cap=2,-109.67483217361895,93.98244702545604,18.65381179992616,80.0,2,1.94176813248,0.30839806186400004,91.57158868711882,294.048803482,0.11373090744018555,0.1395270824432373,10,2,1.0
tau_cap=4,-163.9351977221081,106.77154971720297,2.958404175635754,90.0,1,1.91935908675,0.3070974538799999,90.11879575493504,290.8357466865,0.11277139186859131,0.12919878959655762,1,4,2.0
tau_cap=4,-144.67861835617992,101.22276378553391,8.927513821124453,80.0,2,1.9353471547732144,0.30796889623766655,86.00283571332011,284.323328075,0.11445152759552002,0.14146900177001953,2,4,2.0
tau_cap=4,-149.62472758871976,99.75393169927207,9.407961107794929,90.0,1,1.9974840006142858,0.31956968328800006,83.81265829504186,276.666306328,0.11391615867614746,0.13479089736938477,3,4,2.0
tau_cap=4,-107.93995948047515,93.52539312664686,-4.121557603097062,80.0,2,1.962197683420037,0.31258164479600486,88.8174746199593,286.220905,0.12344121932983398,0.14950037002563477,4,4,2.0
tau_cap=4,-132.34299118705553,95.50935026469739,4.058441275430328,80.0,2,1.9890346309214502,0.31824554094743207,90.38604780819952,290.68145450000003,0.15191566944122314,0.20177268981933594,5,4,2.0
tau_cap=4,-102.34547974390203,93.76742579562793,3.978065027449411,90.0,1,1.9104438538823802,0.30804919448138396,85.94020052483135,288.4468375,0.1212468147277832,0.13896846771240234,6,4,2.0
tau_cap=4,-170.0692267860116,111.6546920246082,6.13988019164172,100.0,0,1.9473084427499998,0.31156935083999987,98.50500757863077,323.19660514000003,0.12085521221160889,0.15109634399414062,7,4,2.0
tau_cap=4,-124.4719395054349,96.46660204849988,-5.877517812340059,80.0,2,1.9006936880136418,0.3079179686732742,89.73034617125094,298.77066996720004,0.12855255603790283,0.14978265762329102,8,4,2.0
tau_cap=4,-106.74615698985265,97.09852937093237,7.424341846649239,80.0,2,1.939751896685712,0.3079932906114282,94.8841184017982,313.1977112,0.12440955638885498,0.15660476684570312,9,4,2.0
tau_cap=4,-109.65814169784508,93.98244712448522,18.653811714211788,80.0,2,1.9416695775009998,0.30837506313346674,91.57158868711882,294.048803482,0.1255549192428589,0.1453568935394287,10,4,2.0
