method,total_cost,peak_kw,peak_reduction_pct,completion_rate_pct,constraint_violations,bess_efc,degr_cost,v2g_revenue,ev_discharge_kwh,mean_solve_time,max_solve_time,seed
Reconstruction only (no margin),-172.28845160339588,105.62801361035001,3.997731308993946,90.0,1,2.0035012811249997,0.3205602049800001,90.23137863742528,291.33804849,0.11563444137573242,0.14623785018920898,1
Reconstruction only (no margin),-153.5029350703999,99.57416701415444,10.41079486444895,100.0,0,2.019988924,0.32323209686000004,86.86179233989692,288.06926775,0.12134623527526855,0.14603376388549805,2
Reconstruction only (no margin),-152.67720439106765,98.3811360641218,10.654672424853622,100.0,0,2.0189853338728567,0.3230434582058667,83.84404807558244,276.9779522035,0.1253039836883545,0.14844655990600586,3
Reconstruction only (no margin),-112.20929408840536,91.59685736258119,-1.9745241511672578,100.0,0,2.0187188374,0.3229950139600002,89.66089914575417,288.99026035,0.12330818176269531,0.14488506317138672,4
Reconstruction only (no margin),-136.79541326894648,93.67292575149892,5.9031761604229835,100.0,0,2.018718836666667,0.32299501386666685,91.26639289448138,294.6518274,0.12968838214874268,0.157806396484375,5
Reconstruction only (no margin),-110.84076617671268,91.7447635092704,6.04935945495527,80.0,2,2.020784051497,0.32327270122340007,86.08778507268178,288.8833229,0.11247289180755615,0.1332857608795166,6
Reconstruction only (no margin),-175.66312991027453,110.08464005752546,7.45971067134297,90.0,1,2.0187190384127627,0.3229950461460422,98.73827627059437,324.24868594960003,0.12820792198181152,0.15515947341918945,7
Reconstruction only (no margin),-132.48215637346524,96.02289714954202,-5.390526746569809,90.0,1,2.0201412998333335,0.3231657093700001,89.92629903603644,299.533780685,0.13973689079284668,0.1741790771484375,8
Reconstruction only (no margin),-112.89122079713589,95.46259987930294,8.984069376625694,90.0,1,2.01871883383,0.32299501343000014,94.9470889979639,313.36061380900003,0.1396937370300293,0.17017102241516113,9
Reconstruction only (no margin),-115.43199915338607,92.51193972448522,19.926604405783237,100.0,0,2.018759080237,0.32300037961826666,91.92457645625396,294.99923108950003,0.15900826454162598,0.16209101676940918,10
Margin + reconstruction (full REB-S),-163.51977140887485,107.09511456322497,2.6643253775495253,100.0,0,1.9192901990625,0.30708643184999984,90.23137863742528,291.33804849,0.12201428413391113,0.1428370475769043,1
Margin + reconstruction (full REB-S),-147.1049227073211,101.23944527119386,8.912505098625754,100.0,0,1.9441646717928571,0.30963299109599995,86.86179233989692,288.06926775,0.12164521217346191,0.14809489250183105,2
Margin + reconstruction (full REB-S),-149.0799924751475,99.89110178226363,9.283389401381585,100.0,0,1.9835509756749998,0.31696755190183323,83.84404807558244,276.9779522035,0.1260819435119629,0.15356707572937012,3
Margin + reconstruction (full REB-S),-106.90299322776819,92.83145221029146,-3.3489951291002695,100.0,0,1.9383595920610346,0.30780765423080475,89.66089914575417,288.99026035,0.10562825202941895,0.126570463180542,4
Margin + reconstruction (full REB-S),-129.43824358685723,95.2547427553283,4.314200960153891,100.0,0,1.9249587567547837,0.30799340108076534,91.26639289448138,294.6518274,0.1251736879348755,0.15105009078979492,5
Margin + reconstruction (full REB-S),-106.43569439170003,92.87613145473493,4.890789318603198,100.0,0,1.935882991076,0.3114381378885333,86.08778507268178,288.8833229,0.1228867769241333,0.14578604698181152,6
Margin + reconstruction (full REB-S),-166.76326267886319,111.60048000676613,6.185452360598018,100.0,0,1.9237151326446749,0.3077944212231479,98.73827627059437,324.24868594960003,0.11757540702819824,0.13859343528747559,7
Margin + reconstruction (full REB-S),-124.22156446799151,97.266179347916,-6.755098840007125,100.0,0,1.9009380088841226,0.30797524394218917,89.92629903603644,299.533780685,0.12800538539886475,0.15323233604431152,8
Margin + reconstruction (full REB-S),-107.41021849425358,96.73639461942336,7.769608280428845,100.0,0,1.9398643374857976,0.30801535572810634,94.9470889979639,313.36061380900003,0.12578022480010986,0.15256571769714355,9
Margin + reconstruction (full REB-S),-111.62606216771294,93.78243597578516,18.8269306854582,100.0,0,1.9567960196269998,0.31139827745693327,91.92457645625396,294.99923108950003,0.12415194511413574,0.1499783992767334,10
