method,total_cost,peak_kw,peak_reduction_pct,completion_rate_pct,constraint_violations,bess_efc,degr_cost,v2g_revenue,ev_discharge_kwh,mean_solve_time,max_solve_time,seed
nominal,-147.78944617497098,99.21193796943072,-15.792174754851953,100.0,0,2.011544038592857,0.32165571826300005,83.11555364734349,275.2000000187491,0.10232710838317871,0.12092351913452148,16
nominal,-148.28493255613714,99.42690311315856,-25.361239837978555,100.0,0,2.0187188372142857,0.3229950139666668,81.78604522924523,273.0249999950006,0.10377192497253418,0.12448668479919434,17
nominal,-109.84296241931673,90.79112912482589,11.294710070550984,100.0,0,2.0187188379,0.32299501400666675,83.71939320141917,281.74999999999943,0.10550129413604736,0.12165474891662598,18
nominal,-119.26693373054503,93.09544757734706,1.0836069181564496,100.0,0,2.0187188371900002,0.32299501393200014,101.07826169868723,324.1500000087567,0.10484480857849121,0.12153816223144531,19
nominal,-133.06987771139003,93.57590802435179,7.822078190902466,100.0,0,2.018718836091667,0.3229950137746668,84.6625556398558,275.5749999950018,0.11888980865478516,0.13540148735046387,20
unaware,-171.9044247849311,105.62801385048506,3.997731090742093,90.0,1,2.0035012834374997,0.3205602053500001,89.85069246602697,289.8465708187497,0.10915350914001465,0.13248252868652344,1
unaware,-152.91258334945206,99.5741669489608,10.410794923105199,80.0,2,2.023460442142857,0.32388011362000024,85.39438383086295,281.88702289,0.1100844144821167,0.11920905113220215,2
unaware,-153.2155120574504,98.40122272326923,10.63643062349602,90.0,1,2.018718837642857,0.3229950140366668,84.58057087580278,279.7840699500024,0.1576293706893921,0.2149674892425537,3
unaware,-114.37452969687172,91.59564245287696,-1.9731715956042957,80.0,2,2.0202506623999996,0.32330137892000016,90.56732572986485,291.7628041966301,0.12710487842559814,0.15251970291137695,4
unaware,-136.35966195797843,93.6679126415491,5.908211956199119,80.0,2,2.0187188370833336,0.3229950139333335,90.65975105824884,291.4407348449994,0.14073944091796875,0.16643953323364258,5
unaware,-112.44369064535756,91.94033608960584,5.849084600099877,90.0,1,2.0293156118,0.32440791717333345,86.21255229410885,289.41205715,0.13518941402435303,0.15180563926696777,6
unaware,-175.89744801973546,110.0846400146936,7.459710707348651,90.0,1,2.0187188369125,0.3229950139060001,98.65563041456568,323.806227044993,0.11276209354400635,0.1419997215270996,7
unaware,-132.56018720240783,95.36496672998406,-4.668411131043045,80.0,2,2.0187188348333334,0.32299501368000016,89.60375953927593,298.2915645187479,0.12559998035430908,0.15203475952148438,8
unaware,-113.62880436306301,95.36644291748127,9.07574732565685,80.0,2,2.0187188366999997,0.3229950138333334,95.48363565688699,316.1873793999989,0.1380070447921753,0.17199420928955078,9
unaware,-114.54586573679448,92.51193972375962,19.92660440641127,70.0,3,2.0187188360999997,0.3229950137466668,91.04570620973954,292.0080959549994,0.1333101987838745,0.15518689155578613,10
unaware,-115.6659827655712,91.34149125641807,17.406282456860126,90.0,1,2.0187188383,0.32299501410666676,91.6822689511808,302.3164653794977,0.11966311931610107,0.14805912971496582,11
unaware,-112.94109616488787,92.2999715465896,11.854681585961117,60.0,4,2.0205741201,0.32336607050666677,90.28454914525975,301.1934434466289,0.1239699125289917,0.14638400077819824,12
unaware,-150.28610954585892,100.58635814584595,-3.692972766120052,80.0,2,2.0173891332142855,0.32274680254666677,86.94976093647068,287.64999999162774,0.11829161643981934,0.148390531539917,13
unaware,-95.73657926901286,85.76354874596313,17.0186091153126,90.0,1,2.0308278569500002,0.3249324571120002,88.59356793199896,289.1267413,0.1240377426147461,0.14156460762023926,14
