method,total_cost,peak_kw,peak_reduction_pct,completion_rate_pct,constraint_violations,bess_efc,degr_cost,v2g_revenue,ev_discharge_kwh,mean_solve_time,max_solve_time,seed
No robust departure,-170.0692267860116,111.6546920246082,6.13988019164172,100.0,0,1.9473084427499998,0.31156935083999987,98.50500757863077,323.19660514000003,0.11752581596374512,0.1457371711730957,7
No robust departure,-124.4719395054349,96.46660204849988,-5.877517812340059,80.0,2,1.9006936880136418,0.3079179686732742,89.73034617125094,298.77066996720004,0.12805509567260742,0.15039300918579102,8
No robust departure,-106.74615698985265,97.09852937093237,7.424341846649239,80.0,2,1.939751896685712,0.3079932906114282,94.8841184017982,313.1977112,0.13492679595947266,0.1711115837097168,9
No robust departure,-109.65814169784508,93.98244712448522,18.653811714211788,80.0,2,1.9416695775009998,0.30837506313346674,91.57158868711882,294.048803482,0.12187516689300537,0.14845561981201172,10
No risk margin/derate,-172.1766579693974,105.62801361035001,3.997731308993946,90.0,1,2.0035012825000003,0.32056020520000017,90.11879575493504,290.8357466865,0.11965596675872803,0.1465444564819336,1
No risk margin/derate,-152.32485246722914,99.57416724083097,10.410794660502775,90.0,1,2.018719455733693,0.3229951294036228,86.00283571332011,284.323328075,0.11775374412536621,0.14209699630737305,2
No risk margin/derate,-152.64805675081527,98.38113632258556,10.654672190128451,100.0,0,2.0187296386807145,0.32299703027173354,83.81265829504186,276.666306328,0.1143488883972168,0.13373970985412598,3
No risk margin/derate,-112.45952831058234,91.59637305287694,-1.9739849705331776,100.0,0,2.01934165231,0.3231195769753335,88.81748947914365,286.2209534,0.1160275936126709,0.1379852294921875,4
No risk margin/derate,-136.074164667512,93.67517486469737,5.900916869312649,100.0,0,2.0187188369166664,0.32299501390666674,90.38604780819952,290.68145450000003,0.12791335582733154,0.15356159210205078,5
No risk margin/derate,-110.3247277753839,91.94033608960584,5.849084600099877,80.0,2,2.018788191951614,0.32300887883101526,85.94020052483135,288.4468375,0.14218425750732422,0.18854022026062012,6
No risk margin/derate,-175.74388828529297,110.08644905113314,7.458189979702782,100.0,0,2.01871883636875,0.3229950138190001,98.50500757863077,323.19660514000003,0.11989474296569824,0.1490921974182129,7
No risk margin/derate,-132.8271856603101,95.46221604849988,-4.775147724172137,70.0,3,2.0200964911666666,0.3231603324400001,89.73031761951245,298.7705769672,0.12098181247711182,0.14499449729919434,8
No risk margin/derate,-112.93401816529105,95.36644291748127,9.07574732565685,80.0,2,2.01871883781,0.3229950139546668,94.8841184017982,313.1977112,0.11227595806121826,0.13501906394958496,9
No risk margin/derate,-115.08300312446593,92.51193945241684,19.926604641271098,100.0,0,2.018781198775,0.32300332877000004,91.57158868711882,294.048803482,0.11521649360656738,0.13235235214233398,10
